nombre,dificultad,tiempo,nodo,variables,restricciones
ackley_5.bch,easy,0.05,139.6,5,1
chance.bch,easy,0.01,9.4,4,3
ex14_1_1.bch,easy,0.02,26.6,3,4
ex14_1_2.bch,easy,0.29,115.6,6,9
ex14_1_3.bch,easy,0.01,17.0,3,4
ex14_1_4.bch,easy,0.02,17.6,3,4
ex14_1_5.bch,easy,0.04,13.6,6,6
ex14_1_8.bch,easy,0.02,18.6,3,4
ex14_1_9.bch,easy,0.01,18.8,2,2
ex14_2_1.bch,easy,0.53,240.0,5,7
ex14_2_2.bch,easy,0.02,17.4,3,4
ex14_2_4.bch,easy,1.05,806.8,5,7
ex14_2_5.bch,easy,0.1,127.8,4,5
ex14_2_6.bch,easy,0.66,247.8,5,7
ex14_2_8.bch,easy,0.08,42.2,4,5
ex14_2_9.bch,easy,0.1,44.6,4,5
ex2_1_10.bch,easy,0.43,49.2,20,10
ex2_1_1.bch,easy,0.12,166.0,5,1
ex2_1_2.bch,easy,0.0,1.8,6,2
ex2_1_3.bch,easy,0.22,121.8,13,9
ex2_1_4.bch,easy,0.0,0.0,6,5
ex2_1_5.bch,easy,0.01,2.0,10,11
ex2_1_5bis.bch,easy,0.01,2.0,10,11
ex2_1_6.bch,easy,1.29,640.4,10,5
ex3_1_1.bch,easy,0.25,97.0,8,6
ex3_1_2.bch,easy,0.01,4.8,5,6
ex3_1_3.bch,easy,0.0,5.0,6,6
ex3_1_3bis.bch,easy,0.0,5.0,6,6
ex3_1_4.bch,easy,0.03,35.4,3,3
ex4_1_5.bch,easy,0.07,170.0,2,2
ex4_1_8.bch,easy,0.0,6.8,2,1
ex4_1_9.bch,easy,0.01,30.0,2,2
ex5_2_2_case1.bch,easy,0.14,67.0,9,6
ex5_2_2_case2.bch,easy,0.09,35.8,9,6
ex5_2_4.bch,easy,0.11,50.6,7,6
ex5_4_2.bch,easy,0.06,29.6,8,6
ex5_4_2bis.bch,easy,0.05,33.2,8,6
ex5_4_3.bch,easy,0.23,25.2,16,13
ex6_1_2.bch,easy,0.04,30.8,4,3
ex7_2_10.bch,easy,0.02,13.0,11,9
ex7_2_1.bch,easy,0.08,27.6,7,14
ex7_2_1bis.bch,easy,0.08,28.2,7,14
ex7_2_2.bch,easy,0.06,29.4,6,5
ex7_2_3.bch,easy,3600.0,6608738.5,8,6
ex7_2_3bis.bch,easy,0.74,288.0,8,6
ex7_2_5.bch,easy,0.02,12.2,5,6
ex7_2_6.bch,easy,0.01,19.4,3,1
ex7_2_7.bch,easy,0.04,39.0,4,2
ex7_3_1.bch,easy,0.08,58.2,4,7
ex7_3_2.bch,easy,0.06,84.0,4,7
ex7_3_3.bch,easy,0.15,122.0,5,8
ex7_3_6.bch,easy,0.0,0.0,17,17
ex8_1_1.bch,easy,0.01,10.2,2,2
ex8_1_2.bch,easy,0.01,15.6,1,1
ex8_1_4.bch,easy,0.02,31.2,2,1
ex8_1_5.bch,easy,0.06,109.2,2,2
ex8_1_6.bch,easy,0.01,24.2,2,2
ex8_1_6bis.bch,easy,0.03,181.6,2,2
ex8_1_7.bch,easy,0.53,357.2,5,3
ex8_1_8.bch,easy,0.06,32.8,6,5
ex8_1_8bis.bch,easy,0.07,29.4,6,5
ex8_4inf-1.bch,easy,0.13,2314.0,2,2
ex8_5_3-1.bch,easy,0.51,269.4,5,5
ex8_5_3.bch,easy,0.49,245.8,5,5
ex8_5_4.bch,easy,1.16,596.2,5,4
ex8_5_5-1.bch,easy,0.1,42.4,5,6
ex8_5_5.bch,easy,0.92,469.8,5,6
ex8_5_6-1.bch,easy,1.35,1751.4,6,6
ex9_1_10.bch,easy,0.01,8.2,14,12
ex9_1_1.bch,easy,0.03,6.4,13,12
ex9_1_2.bch,easy,0.01,3.8,10,9
ex9_1_4.bch,easy,0.01,2.8,10,9
ex9_1_5.bch,easy,0.08,39.0,13,12
ex9_1_8.bch,easy,0.01,8.2,14,12
ex9_2_1.bch,easy,0.01,5.0,10,9
ex9_2_2.bch,easy,0.0,2.6,10,9
ex9_2_3.bch,easy,0.02,7.0,16,15
ex9_2_4.bch,easy,0.01,5.4,8,7
ex9_2_5.bch,easy,0.01,6.6,8,7
ex9_2_6.bch,easy,0.04,10.4,16,12
ex9_2_7.bch,easy,0.01,5.0,10,9
ex9_2_8.bch,easy,0.0,2.4,6,5
exbaron.bch,easy,0.0,1.0,2,2
exinfinity2.bch,easy,0.0,13.0,2,1
exinfinity3.bch,easy,0.0,4.4,2,1
exp40.bch,easy,0.0,0.0,1,2
f1.bch,easy,0.0,6.0,3,3
griewank.bch,easy,0.02,27.0,5,5
himmel11.bch,easy,0.11,39.0,9,4
house.bch,easy,0.06,26.8,8,8
hs071.bch,easy,0.11,102.2,4,2
m4wd.bch,easy,0.54,358.8,5,3
pressure-vessel.bch,easy,0.01,9.4,4,3
rastrigin.bch,easy,0.01,14.2,5,5
rosenbrock10.bch,easy,0.35,351.4,10,10
rosenbrock.bch,easy,0.01,33.4,2,2
schaffer.bch,easy,0.01,68.4,2,2
ship-1.bch,easy,3600.0,4025012.0,10,15
test_infinity1.bch,easy,0.13,2314.0,2,2
test_infinity2.bch,easy,0.0,4.0,2,2
wall.bch,easy,0.02,9.8,6,6
alkyl.bch,medium,0.22,49.8,14,7
alkylbis.bch,medium,0.21,45.8,14,7
bearing.bch,medium,14.4,2306.8,13,12
ex14_2_3.bch,medium,1.66,518.2,6,9
ex14_2_7.bch,medium,50.54,13159.4,6,9
ex2_1_7.bch,medium,12.84,2479.4,20,10
ex2_1_8.bch,medium,11.48,1638.4,24,10
ex2_1_9.bch,medium,9.42,5130.4,11,1
ex2_1_9fact.bch,medium,9.29,5137.4,10,1
ex5_2_2_case3.bch,medium,0.04,18.4,9,6
ex5_3_2.bch,medium,0.74,63.4,22,16
ex6_1_3bis.bch,medium,13.99,11122.0,6,3
ex6_1_4.bch,medium,0.34,188.4,6,4
ex6_2_11.bch,medium,24.88,25787.6,3,1
ex6_2_12.bch,medium,7.97,7819.6,4,2
ex6_2_14.bch,medium,1.2,1077.4,4,2
ex6_2_6.bch,medium,60.24,60179.2,3,1
ex6_2_8.bch,medium,30.36,31771.2,3,1
ex6_2_9.bch,medium,25.13,21522.4,4,2
ex7_3_4.bch,medium,1.56,312.2,12,17
ex7_3_4bis.bch,medium,1.3,838.4,7,12
ex7_3_5bis.bch,medium,3.33,4294.4,4,6
ex8_4_4bis.bch,medium,79.46,77640.6,5,5
ex8_5_2_1.bch,medium,3600.0,31264118.0,6,5
haverly.bch,medium,0.26,78.2,12,9
himmel16.bch,medium,17.36,3417.2,15,21
launch.bch,medium,4.37,191.2,38,28
like-1.bch,medium,3.48,2606.0,9,3
like.bch,medium,3.52,2638.0,9,3
schwefel5-abs.bch,medium,3600.0,25044464.0,5,5
schwefel5.bch,medium,3600.0,23522792.0,5,5
chem-1.bch,hard,2085.64,906845.62,11,4
chem.bch,hard,2023.69,906845.62,11,4
chembis.bch,hard,1049.23,481901.41,11,4
ex6_1_3.bch,hard,73.04,15096.8,12,9
ex6_2_10.bch,hard,525.32,330622.59,6,3
ex8_5_1bis.bch,hard,8.17,3864.6,7,6
sambal.bch,hard,2545.89,513966.0,15,8
abel.bch,unsolved,3599.99,541916.0,30,14
abelbis-1.bch,unsolved,3599.98,235785.8,30,14
abelbis.bch,unsolved,3599.99,370707.59,30,14
abelter-1.bch,unsolved,3599.99,364348.59,30,14
chakra-1.bch,unsolved,3599.97,83108.8,62,41
chakra.bch,unsolved,3599.96,83501.4,62,41
chenery-1.bch,unsolved,3355.93,253311.8,44,39
chenery.bch,unsolved,3599.98,421151.81,44,38
ex14_1_7.bch,unsolved,95.09,17743.8,10,17
ex5_2_5.bch,unsolved,3599.98,409980.0,32,19
ex5_3_3.bch,unsolved,3599.94,114547.0,62,53
3pk,otros,"3599,99",473124,30,0
3pk-borne,otros,"1,96","2332,5",32,0
aircraftb,otros,"2,89","1108,67",5,0
avgasa,otros,"0,93","338,67",8,10
avgasb,otros,"2435,18",343475,8,10
avion2,otros,"841,05","25763,33",49,15
batch,otros,3600,10536198,46,69
brownal,otros,3600,439222,10,0
catena,otros,"3599,99","1181546,62",32,10
concon,otros,"28,94","1177,33",15,11
core1,otros,3600,2183692,65,50
cresc4,otros,5,2488,6,8
dipigri,otros,"3,49","277,33",7,4
disc2,otros,3600,146018,28,23
discs,otros,"8,5","1786,67",33,66
dixchlng,otros,"3599,99","255401,33",10,5
dnieper,otros,"3,8","1064,67",57,24
dualc1,otros,"0,79","287,33",9,13
dualc2,otros,"105,58",53902,7,9
dualc5,otros,"471,79",190092,8,1
dualc8,otros,"3599,96","129389,34",8,15
eigencco,otros,"0,85","46,67",30,15
eigmaxc,otros,"0,34",6,22,22
eigminc,otros,"16,01","2515,33",22,22
ex2_1_7,otros,"13,61","1727,33",20,10
ex2_1_8,otros,"3599,99","426565,34",24,10
fccu,otros,"0,86","148,67",19,8
genhs28,otros,"0,84","347,33",10,8
haifas,otros,"3599,99",1288988,7,9
haldmads,otros,"25,9","494,67",6,42
himmelbk,otros,"1,41",730,24,14
hs056,otros,3600,"1590670,62",7,4
hs070,otros,"0,18","36,67",4,1
hs087,otros,"105,96",1360,9,4
hs090,otros,"3599,74",9566,4,1
hs091,otros,"594,71","440376,66",5,1
hs093,otros,"0,01",4,6,2
hs095,otros,"0,01","3,33",6,4
hs096,otros,"0,01","3,33",6,4
hs097,otros,"0,01","4,67",6,4
hs098,otros,"52,45","3102,67",6,4
hs099,otros,"5,63","2667,33",19,14
hs100,otros,3600,1295514,7,4
hs101,otros,"2677,09",876878,7,6
hs102,otros,"734,5",251128,7,6
hs103,otros,"5,14","1430,67",7,6
hs104,otros,"0,3","88,67",8,6
hs106,otros,"3599,99","514845,34",8,6
hs107,otros,"143,29",40542,9,6
hs108,otros,"0,83","153,33",9,13
hs109,otros,"5,12","5880,5",9,10
hs110,otros,3600,1227260,10,0
hs111,otros,3600,"1860277,38",10,3
hs112,otros,"18,45","4768,67",10,3
hs113,otros,"1,14","227,33",10,8
hs114,otros,"0,76","113,33",10,11
hs116,otros,"119,14",17376,13,15
hs117,otros,3600,"2982480,75",15,5
hs118,otros,"26,44","2585,33",15,17
hs119,otros,"0,01",14,19,8
launch,otros,3600,"7631745,5",25,29
loadbal,otros,"0,02",2,31,31
lotschd,otros,"0,34",180,12,7
makela3,otros,0,0,21,20
makela4,otros,"0,59","528,67",21,40
matrix2,otros,"3599,99","1194722,62",6,2
mconcon,otros,"1319,6","437173,34",15,11
mistake,otros,3600,12592871,9,13
modele_opti,otros,"46,55","18195,33",5,3
odfits,otros,0,0,10,6
optcntrl,otros,"3599,9","127922,66",28,20
optmass,otros,"0,22",8,66,55
optprloc,otros,3600,495745,30,29
orthregb,otros,"3599,99",384628,27,6
orthrege,otros,3600,4571434,36,20
pentagon,otros,"0,01","19,33",6,12
polak1,otros,"0,26","168,67",3,2
polak2,otros,"3599,98",283582,11,2
polak3,otros,"0,09","187,33",12,10
polak4,otros,"0,08","110,67",3,3
polak5,otros,3600,"2511150,75",3,2
polak6,otros,"3599,99","349074,66",5,4
portfl1,otros,"2415,03","627772,69",12,1
rk23,otros,3600,"2510904,75",17,11
s365mod,otros,"3599,99",924896,7,5
ssnlbeam,otros,"0,08","28,67",30,10
synthes1,otros,"3599,99","433402,66",6,6
